순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,005930,삼성전자,"51,200","500","1.0","16,851,580","859,668,403,000","50,800","51,200","50,600","305,652,866,560,000","18.38","5,969,782,550",,,2472
2,000660,SK하이닉스,"83,600","2,100","2.6","4,188,495","348,303,586,100","82,100","83,700","82,100","60,860,997,714,000","3.66","728,002,365",,,
3,207940,삼성바이오로직스,"629,000","7,000","1.1","118,209","74,136,054,000","629,000","632,000","620,000","41,617,785,000,000","2.50","66,165,000",,,
4,035420,NAVER,"237,000","11,000","4.9","1,137,502","266,729,410,000","233,500","237,000","230,000","38,930,424,615,000","2.34","164,263,395",,,
5,005935,삼성전자우,"43,950","1,100","2.6","3,184,087","139,402,470,033","43,450","44,000","43,350","36,165,870,465,000","2.17","822,886,700",,,
6,068270,셀트리온,"227,500","14,000","6.6","3,398,452","765,714,224,000","214,000","232,500","213,000","30,698,710,087,500","1.85","134,939,385",,,
7,051910,LG화학,"396,000","5,500","1.4","400,166","158,541,337,000","391,000","401,000","389,500","27,954,567,828,000","1.68","70,592,343",,,
8,006400,삼성SDI,"366,000","7,000","2.0","530,581","193,765,536,500","361,000","369,500","360,500","25,167,817,980,000","1.51","68,764,530",,,
9,035720,카카오,"264,000","500","0.2","1,078,399","284,163,712,000","263,500","266,000","259,500","23,009,943,528,000","1.38","87,158,877",,,
10,005380,현대차,"100,000","2,000","2.0","1,896,156","189,210,247,900","98,000","101,500","98,000","21,366,818,700,000","1.28","213,668,187",,,
11,051900,LG생활건강,"1,363,000","-7,000","-0.5","42,108","57,279,762,000","1,359,000","1,367,000","1,347,000","21,287,602,511,000","1.28","15,618,197",,,
12,012330,현대모비스,"206,000","8,000","4.0","260,256","52,843,451,000","196,000","206,500","196,000","19,581,266,964,000","1.18","95,054,694",,,
13,028260,삼성물산,"102,000","2,900","2.9","561,824","57,368,166,500","101,500","104,000","101,000","19,062,482,262,000","1.15","186,887,081",,,
14,017670,SK텔레콤,"224,500","8,500","3.9","422,999","93,967,687,500","217,000","225,000","217,000","18,127,412,119,500","1.09","80,745,711",,,
15,036570,엔씨소프트,"816,000","26,000","3.3","84,667","68,504,692,000","786,000","820,000","784,000","17,914,481,952,000","1.08","21,954,022",,,
16,034730,SK,"243,000","4,000","1.7","359,007","87,252,439,000","240,000","247,000","239,000","17,097,552,171,000","1.03","70,360,297",,,
17,005490,POSCO,"182,500","1,500","0.8","307,859","56,217,839,000","181,500","184,000","181,000","15,911,597,387,500","0.96","87,186,835",,,
18,055550,신한지주,"30,700","550","1.8","1,481,548","45,357,130,750","30,300","30,900","30,300","14,810,677,535,100","0.89","482,432,493",,,
19,018260,삼성에스디에스,"191,000","500","0.3","141,993","27,024,579,000","189,500","191,500","188,500","14,779,159,800,000","0.89","77,377,800",,,
20,105560,KB금융,"34,600","600","1.8","2,630,129","90,819,532,850","34,200","34,900","34,050","14,386,954,032,000","0.87","415,807,920",,,
21,091990,셀트리온헬스케어,"94,100","3,300","3.6","10,943,844","1,034,177,904,600","90,000","98,900","88,800","14,247,335,841,200","0.86","151,406,332",,,
22,000270,기아차,"34,600","350","1.0","2,517,488","86,864,002,000","33,900","35,150","33,800","14,025,571,806,200","0.84","405,363,347",,,
23,015760,한국전력,"21,750","150","0.7","1,807,483","39,303,806,250","21,650","21,900","21,600","13,962,718,674,750","0.84","641,964,077",,,
24,033780,KT&G,"85,000","1,100","1.3","393,102","33,236,737,400","83,900","85,200","83,200","11,669,862,245,000","0.70","137,292,497",,,
25,096770,SK이노베이션,"124,000","5,500","4.6","658,019","81,664,986,000","123,500","127,000","122,000","11,465,729,936,000","0.69","92,465,564",,,
26,003550,LG,"64,600","1,500","2.4","200,699","12,870,166,500","63,000","64,800","62,900","11,147,190,662,600","0.67","172,557,131",,,
27,090430,아모레퍼시픽,"166,000","3,000","1.8","219,302","36,300,613,500","163,500","167,000","162,000","9,704,109,340,000","0.58","58,458,490",,,
28,066570,LG전자,"59,200","-100","-0.2","545,732","32,248,262,000","59,000","59,500","58,500","9,687,950,588,800","0.58","163,647,814",,,
29,009150,삼성전기,"127,000","2,000","1.6","765,594","96,834,667,500","124,500","127,500","123,500","9,486,099,392,000","0.57","74,693,696",,,
30,032830,삼성생명,"46,500","800","1.8","485,855","22,424,867,200","45,700","46,650","45,650","9,300,000,000,000","0.56","200,000,000",,,
31,086790,하나금융지주,"30,100","350","1.2","2,170,936","64,622,734,800","29,700","30,200","29,200","9,037,286,066,200","0.54","300,242,062",,,
32,000810,삼성화재,"186,500","4,000","2.2","97,437","18,051,694,000","183,500","188,000","183,500","8,835,407,100,500","0.53","47,374,837",,,
33,010950,S-Oil,"72,800","2,100","3.0","544,816","39,644,891,200","72,000","73,300","72,000","8,196,027,257,600","0.49","112,582,792",,,
34,251270,넷마블,"95,500","3,200","3.5","295,386","28,004,524,400","93,300","95,600","93,100","8,193,500,046,000","0.49","85,795,812",,,
35,010130,고려아연,"378,500","500","0.1","36,333","13,676,998,000","377,500","378,500","374,000","7,142,295,000,000","0.43","18,870,000",,,
36,316140,우리금융지주,"9,120","-10","-0.1","2,893,303","26,366,508,690","9,040","9,220","8,970","6,587,081,268,960","0.40","722,267,683",,,
37,009540,한국조선해양,"92,200","1,400","1.5","308,343","28,380,274,800","91,300","93,500","91,000","6,525,281,295,200","0.39","70,773,116",,,
38,011170,롯데케미칼,"189,500","1,500","0.8","87,537","16,566,903,500","188,000","190,500","187,500","6,495,191,900,500","0.39","34,275,419",,,
39,030200,KT,"24,850","500","2.0","1,331,584","33,084,285,900","24,350","25,000","24,350","6,488,628,428,800","0.39","261,111,808",,,
40,032640,LG유플러스,"13,300","150","1.1","1,437,498","19,015,556,250","13,050","13,300","13,050","5,806,931,101,300","0.35","436,611,361",,,
41,024110,기업은행,"8,480","200","2.4","2,853,545","24,065,387,680","8,300","8,500","8,300","5,631,223,457,600","0.34","664,059,370",,,
42,180640,한진칼,"91,100","4,800","5.6","1,468,803","131,151,627,300","89,300","91,800","86,100","5,390,428,723,800","0.32","59,170,458",,,
43,028300,에이치엘비,"124,000","11,100","9.8","2,909,875","353,967,777,200","115,900","127,500","113,600","5,361,234,488,000","0.32","43,235,762",,,
44,035250,강원랜드,"24,700","500","2.1","582,150","14,334,472,500","24,300","24,850","24,300","5,284,330,350,000","0.32","213,940,500",,,
45,271560,오리온,"133,000","1,000","0.8","96,566","12,798,495,500","132,000","134,000","130,000","5,258,305,556,000","0.32","39,536,132",,,
46,018880,한온시스템,"9,770","30","0.3","2,232,043","21,437,420,330","9,460","9,800","9,260","5,215,226,000,000","0.31","533,800,000",,,
47,021240,코웨이,"68,500","1,900","2.8","219,189","14,883,160,200","67,100","68,900","67,000","5,055,273,901,500","0.30","73,799,619",,,
48,002790,아모레G,"56,300","-1,500","-2.6","151,198","8,480,789,800","56,100","56,400","55,500","4,642,395,534,000","0.28","82,458,180",,,
49,097950,CJ제일제당,"299,000","2,000","0.7","42,569","12,752,418,500","295,000","302,000","295,000","4,501,201,614,000","0.27","15,054,186",,,
50,267250,현대중공업지주,"281,000","10,500","3.9","40,393","11,165,350,000","271,000","282,000","267,000","4,439,411,377,000","0.27","15,798,617",,,
51,086280,현대글로비스,"114,000","1,000","0.9","137,860","15,706,701,500","112,000","115,000","111,500","4,275,000,000,000","0.26","37,500,000",,,
52,006800,미래에셋대우,"6,320","150","2.4","3,911,089","24,687,170,050","6,260","6,390","6,240","4,160,559,698,560","0.25","658,316,408",,,
53,088980,맥쿼리인프라,"11,900","50","0.4","1,203,378","14,302,941,275","11,850","11,950","11,850","4,153,627,598,400","0.25","349,044,336",,,
54,068760,셀트리온제약,"113,000","21,300","23.2","9,596,338","1,029,646,828,500","90,700","117,400","89,800","4,046,167,496,000","0.24","35,806,792",,,
55,000720,현대건설,"34,250","50","0.2","814,268","27,877,958,550","34,050","34,750","33,900","3,813,934,951,250","0.23","111,355,765",,,
56,034220,LG디스플레이,"10,650","450","4.4","2,539,551","26,667,051,350","10,250","10,650","10,250","3,810,737,205,000","0.23","357,815,700",,,
57,000120,CJ대한통운,"163,500","2,500","1.6","51,780","8,395,709,000","159,000","163,500","158,500","3,729,818,244,000","0.22","22,812,344",,,
58,004990,롯데지주,"34,800","500","1.5","258,637","8,958,448,000","34,350","34,900","34,200","3,650,841,447,600","0.22","104,909,237",,,
59,011070,LG이노텍,"153,000","5,500","3.7","318,680","48,451,535,000","147,500","154,000","146,000","3,621,067,371,000","0.22","23,667,107",,,
60,196170,알테오젠,"256,600","14,900","6.2","517,274","132,578,775,600","247,200","268,000","247,100","3,591,360,770,000","0.22","13,995,950",,,
61,078930,GS,"38,650","950","2.5","264,960","10,206,673,500","38,050","38,850","38,050","3,591,179,359,700","0.22","92,915,378",,,
62,003670,포스코케미칼,"58,700","3,200","5.8","642,665","37,496,155,600","56,300","59,100","56,200","3,580,008,514,000","0.22","60,988,220",,,
63,012510,더존비즈온,"119,500","-500","-0.4","317,543","37,848,538,074","120,000","122,000","118,000","3,545,887,650,000","0.21","29,672,700",,,
64,000100,유한양행,"52,600","700","1.4","625,612","32,899,439,000","52,300","53,200","52,200","3,516,668,206,000","0.21","66,856,810",,,
65,012750,에스원,"92,300","-900","-1.0","73,711","6,806,017,700","90,200","93,400","90,200","3,507,324,129,400","0.21","37,999,178",,,
66,029780,삼성카드,"29,450","-100","-0.3","218,985","6,440,297,050","29,300","29,550","29,300","3,412,044,339,950","0.21","115,858,891",,,
67,007070,GS리테일,"42,750","150","0.4","229,137","9,832,886,950","43,000","43,300","42,500","3,291,750,000,000","0.20","77,000,000",,,
68,000210,대림산업,"92,900","600","0.6","366,730","33,846,329,300","91,500","94,000","90,500","3,232,920,000,000","0.19","34,800,000",,,
69,139480,이마트,"114,000","500","0.4","498,838","57,045,912,000","116,000","117,000","113,000","3,177,843,366,000","0.19","27,875,819",,,
70,008770,호텔신라,"80,400","1,200","1.5","453,268","36,193,953,700","79,100","80,500","78,600","3,155,548,928,400","0.19","39,248,121",,,
71,010140,삼성중공업,"4,980","165","3.4","9,081,683","44,621,399,880","4,765","4,990","4,765","3,137,400,000,000","0.19","630,000,000",,,
72,005830,DB손해보험,"44,100","700","1.6","477,231","21,034,525,800","43,700","44,650","43,600","3,122,280,000,000","0.19","70,800,000",,,
73,071050,한국금융지주,"55,100","2,400","4.6","415,139","22,613,960,500","52,900","55,300","52,900","3,070,502,159,200","0.18","55,725,992",,,
74,096530,씨젠,"116,700","-200","-0.2","1,858,491","216,790,059,700","118,100","119,600","113,500","3,061,510,134,000","0.18","26,234,020",,,
75,161390,한국타이어앤테크놀로지,"24,500","1,050","4.5","453,098","10,769,306,000","23,200","24,500","22,750","3,034,939,190,500","0.18","123,875,069",,,
76,004020,현대제철,"21,600","-250","-1.1","902,791","19,414,210,800","21,650","21,700","21,250","2,882,428,956,000","0.17","133,445,785",,,
77,128940,한미약품,"240,500","3,500","1.5","73,290","17,498,137,500","237,000","242,000","234,500","2,848,248,474,500","0.17","11,843,029",,,
78,005940,NH투자증권,"10,100","370","3.8","1,624,119","16,191,230,820","9,820","10,100","9,820","2,842,229,758,700","0.17","281,408,887",,,
79,282330,BGF리테일,"162,000","-5,000","-3.0","41,481","6,718,503,000","162,000","164,000","160,500","2,799,992,772,000","0.17","17,283,906",,,
80,000080,하이트진로,"38,750","2,750","7.6","1,404,139","53,086,742,150","36,000","38,750","36,000","2,717,677,426,250","0.16","70,133,611",,,
81,036460,한국가스공사,"29,300","-550","-1.8","312,458","9,217,702,000","29,850","29,900","29,200","2,704,770,900,000","0.16","92,313,000",,,
82,263750,펄어비스,"205,400","900","0.4","33,038","6,758,366,600","204,100","206,000","202,300","2,686,601,190,000","0.16","13,079,850",,,
83,009830,한화솔루션,"16,800","650","4.0","1,385,996","23,257,006,450","16,800","17,100","16,600","2,685,723,549,600","0.16","159,864,497",,,
84,001040,CJ,"92,000","100","0.1","71,600","6,511,142,900","90,300","92,000","89,600","2,684,283,816,000","0.16","29,176,998",,,
85,035760,CJ ENM,"120,800","-200","-0.2","86,158","10,335,454,200","119,800","120,800","118,600","2,649,041,803,200","0.16","21,929,154",,,
86,003410,쌍용양회,"5,190","120","2.4","7,454,087","39,556,923,940","5,480","5,600","5,130","2,615,031,298,050","0.16","503,859,595",,,
87,042660,대우조선해양,"23,950","2,150","9.9","1,038,008","23,872,476,750","21,900","23,950","21,900","2,567,577,760,400","0.15","107,205,752",,,
88,016360,삼성증권,"28,450","500","1.8","550,432","15,607,718,250","28,200","28,500","28,050","2,540,585,000,000","0.15","89,300,000",,,
89,023530,롯데쇼핑,"88,900","-100","-0.1","91,770","8,113,013,400","88,800","88,900","87,800","2,514,870,319,500","0.15","28,288,755",,,
90,247540,에코프로비엠,"119,200","-700","-0.6","888,277","105,465,230,900","120,000","121,200","116,500","2,498,928,587,200","0.15","20,964,166",,,
91,047810,한국항공우주,"25,400","50","0.2","947,368","24,263,742,700","26,100","26,200","25,350","2,475,867,717,800","0.15","97,475,107",,,
92,241560,두산밥캣,"24,350","650","2.7","1,256,586","31,152,076,950","23,750","26,000","23,750","2,441,067,192,100","0.15","100,249,166",,,
93,004170,신세계,"245,500","500","0.2","61,604","15,036,190,500","244,000","246,000","242,500","2,416,991,935,500","0.15","9,845,181",,,
94,028050,삼성엔지니어링,"12,250","150","1.2","1,754,347","21,301,088,850","12,100","12,300","12,000","2,401,000,000,000","0.14","196,000,000",,,
95,032500,케이엠더블유,"59,800","1,500","2.6","698,939","41,533,823,300","58,800","60,300","58,600","2,381,288,803,400","0.14","39,820,883",,,
96,081660,휠라홀딩스,"39,000","550","1.4","450,767","17,404,472,750","38,000","39,350","37,900","2,369,336,658,000","0.14","60,752,222",,,
97,006360,GS건설,"28,700","150","0.5","520,677","14,874,710,500","28,500","28,850","28,150","2,298,806,974,800","0.14","80,097,804",,,
98,005387,현대차2우B,"60,600","400","0.7","136,926","8,353,468,800","60,700","61,500","60,600","2,211,018,330,600","0.13","36,485,451",,,
99,011790,SKC,"58,800","1,700","3.0","358,646","20,958,543,400","57,500","59,200","57,500","2,207,031,834,000","0.13","37,534,555",,,
100,011780,금호석유,"71,700","800","1.1","86,908","6,199,759,800","71,100","71,900","70,900","2,184,533,444,700","0.13","30,467,691",,,
101,001450,현대해상,"24,400","150","0.6","232,672","5,652,863,150","24,250","24,450","24,000","2,181,360,000,000","0.13","89,400,000",,,
102,020150,일진머티리얼즈,"47,300","650","1.4","367,386","17,353,158,850","46,700","47,850","46,650","2,181,042,495,500","0.13","46,110,835",,,
103,253450,스튜디오드래곤,"77,100","900","1.2","123,270","9,489,915,100","76,900","77,300","76,500","2,166,230,127,000","0.13","28,096,370",,,
104,008560,메리츠증권,"3,445","160","4.9","2,790,255","9,549,422,340","3,310","3,465","3,310","2,126,635,364,945","0.13","617,310,701",,,
105,009240,한샘,"86,100","1,500","1.8","100,886","8,743,878,900","85,100","88,500","85,100","2,026,271,200,800","0.12","23,533,928",,,
106,007310,오뚜기,"559,000","8,000","1.4","3,772","2,103,596,000","551,000","560,000","549,000","2,015,327,483,000","0.12","3,605,237",,,
107,004370,농심,"325,500","10,000","3.2","33,245","10,775,237,500","314,500","326,500","314,500","1,979,899,971,000","0.12","6,082,642",,,
108,003490,대한항공,"20,850","150","0.7","1,136,085","23,577,175,800","20,700","21,050","20,450","1,977,510,618,900","0.12","94,844,634",,,
109,030000,제일기획,"17,100","500","3.0","525,727","8,922,708,350","16,750","17,100","16,700","1,967,204,947,500","0.12","115,041,225",,,
110,047050,포스코인터내셔널,"15,600","-400","-2.5","281,629","4,418,870,350","15,800","15,900","15,500","1,924,652,324,400","0.12","123,375,149",,,
111,028670,팬오션,"3,535","-40","-1.1","1,781,300","6,315,717,655","3,575","3,595","3,510","1,889,702,146,745","0.11","534,569,207",,,
112,008930,한미사이언스,"28,100","650","2.4","100,145","2,794,389,950","27,200","28,150","27,200","1,854,913,286,900","0.11","66,011,149",,,
113,039490,키움증권,"82,500","3,600","4.6","78,380","6,442,019,500","80,500","83,200","80,300","1,823,228,550,000","0.11","22,099,740",,,
114,095700,제넥신,"76,000","900","1.2","924,638","70,009,027,100","77,500","77,500","73,900","1,808,586,972,000","0.11","23,797,197",,,
115,003000,부광약품,"27,300","900","3.4","4,408,115","120,605,994,100","26,700","28,100","26,400","1,770,076,799,400","0.11","64,837,978",,,
116,036490,SK머티리얼즈,"166,900","4,800","3.0","47,569","7,782,784,600","162,200","167,200","161,500","1,760,406,623,700","0.11","10,547,673",,,
117,181710,NHN,"89,100","1,800","2.1","100,006","8,871,032,200","88,000","89,300","87,900","1,743,243,727,500","0.10","19,565,025",,,
118,026960,동서,"17,400","700","4.2","90,767","1,559,309,950","16,800","17,400","16,800","1,734,780,000,000","0.10","99,700,000",,,
